doc_id,text,label,decision_basis,error
1757_10,"I think it's one of the primary responsibilities of a presidential candidate and, certainly, an overriding responsibility of a president himself to emphasize these great ideals that join us together, to unite Americans rather than to divide them sectionally into occupations and the like, and that's why I refuse to go before one group and make them promises that will set them against another.  I think we must emphasize the things that unite America.  I pointed out in speaking to a great labor organization yesterday the fact that Mr. Kennedy had been in Detroit and made the statement that he was for everything union leaders were for, in effect, and that he opposed everything that they were against.  And I said to this group, """"Look, I'm for many of the things your leaders are for, but I'm not for all the things and I will not make a commitment that I'm for all the things that the leaders of unions or management or farm organizations or any other part or group of America are for, because a president must be president of all America and not just part of America.""""",0,"The document emphasizes uniting Americans and avoiding sectional divisions, focusing on the president's responsibility to represent all of America. While it references labor organizations, it does so to critique Kennedy's approach rather than to frame the issue as a moral struggle between 'the people' and elites. The language is relatively formal and policy-oriented, lacking the emotional appeals, simplistic solutions, and direct appeals to the masses characteristic of populism.",
2008-10-01-crosse-wisconsin-1_19,"As for the programs we do need, I will make them work better and cost less. I will create a High-Performance Team of experts that evaluates every agency and every office based on how well they're serving the American taxpayer. I will save billions of dollars by cutting private contractors and improving management and oversight of the hundreds of billions of dollars our government spends on contracts. And I will finally end the abuse of no-bid contracts once and for all - the days of sweetheart deals for Halliburton will be over when I'm in the White House.",1,"The document criticizes 'sweetheart deals for Halliburton' and promises to cut 'private contractors,' framing these actions as ending abuse and saving taxpayer money. This aligns with the inclusion criteria by criticizing a perceived elite (private contractors) and emphasizing accountability to 'the American taxpayer,' employing language that suggests a moral struggle against wasteful spending and corruption.",
1667_1,"Ladies and gentlemen, I will be very brief.  I just come here in this community, which is mixed, Democrats, Republicans and independents, because two weeks from today, November 8th, Mr. Nixon's and my work will be finished and then you have to decide, you have to make these judgments.  But what is the area of difference between us?  What is the issue on which you should base your decision?  You should not only make a judgment of Mr. Nixon and myself.  You should also make a judgment about yourselves, what you want, about what your view is of your country and your community, about what your view of the future is, whether you are satisfied today or wish to do better.  If you are satisfied, if you feel happy about your life, if you feel our country is meeting its responsibilities, then you belong in Mr. Nixon's camp.  But if you share the view that I hold very vigorously that this country is going to have to do better in the future, that we have responsibilities to meet not only to ourselves but to the cause of freedom, that we are anxious to make sure that in the future people decide that these days were great days in the life of our country, that we must move forward, we must stimulate our growth, we must hold out an image to the world of a vigorous, dynamic society, if we are going to continue to lead the free world--I believe that is the choice.  I don't think if we continue on our present basis that we will be the leader of the free world.",0,"The document focuses on policy differences and future responsibilities, presenting a choice between two candidates based on their visions for the country's future. While it expresses a desire for improvement, it lacks the emphasis on 'the common people' versus a corrupt elite, emotional language, or simplistic solutions characteristic of populism as defined in the codebook. It does not frame the issues as a moral struggle.",
2016-11-02-amphitheater-miami-florida_6,"Podesta forwarded the e-mails to Clinton's top staff and said, additional chances for mischief. These are the people that want to run our country, folks. The spread of political agendas into the Justice Departmentâ€šÃ„Ã®there's never been a thing like this that has happened in our country's historyâ€šÃ„Ã®is one of the saddest things that has happened to our country. But with your vote you can beat the system, the rigged system, and deliver justice. So, show up early and vote. Show up early. You know, the lines are incredible. The polls are all saying we're going to win Florida. Don't believe it. Don't believe it. Get out there and vote. Pretend we're slightly behind. You got to getâ€šÃ„Ã®we don't want to blow this.",1,"The document criticizes 'the system' and a 'rigged system,' framing it as something to be 'beat.' It emphasizes the importance of voting to 'deliver justice' and warns against complacency, suggesting a struggle against an unfair system. This aligns with the inclusion criteria of emphasizing a moral struggle between 'the people' and an unjust system, and employing emotionally charged language to motivate action.",
1043_11,"There has been loose talk of a war of liberation to free the enslaved peoples of Eastern Europe. Such a war is unthinkable and would destroy the very people and the civilization that we seek to save. Yet the day of liberation will come, and there is much we can do in the meantime to help the unhappy people of Eastern Europe. Through the United Nations much is being done to rally the conscience of mankind. We can offer help and encouragement to those thousands of families and those individuals who are escaping, month by month, through the chinks in the Iron Curtain.",0,"The document focuses on policy and international relations (liberation of Eastern Europe, United Nations efforts) without employing the characteristic populist rhetoric of emphasizing a moral struggle between 'the common people' and a corrupt elite. The language is formal and avoids emotional appeals or simplistic solutions, aligning with the exclusion criteria for populism.",
1092_20,"I started my troop duty in the days when we were digging trenches along the Mexican border.  In those days, war traveled no faster than a horse's jog.  I ended my last tour with troops in May of this year.  By then, the pace of war had stepped up to the speed of the jet plane and the impact of the atomic bomb.",0,"The document describes personal experiences related to military service and the changing pace of war. It lacks the emphasis on 'the common people,' criticism of elites, or framing of political issues as a moral struggle between 'the people' and 'elites' as defined in the codebook. The language is factual and descriptive, not emotionally charged or populist.",
1526_2,"The sun is setting and I understand there are no lights--the lights are going out for the Republican party all over the United States. But I want to say one or two things. I spoke this afternoon at the plowing contest on what I consider to be the number one domestic problem which the United States faces, and that is the sharp decline in agricultural income. I think the farmers of North Dakota and the farmers of South Dakota and of Minnesota and Montana have a very clear choice. The question is which party and which candidate can meet their problems in this state, and meet their in this country. They have heard from the Democratic party and they have heard from the Republican party. I remember when President Truman used to say that the farmers had themselves to blame for their difficulties because they voted Republican in 1952. But I don't hold that view wholly, because in 1952, the farmers were informed that the Republican party stood for 100 percent parity not once but at least three times.",0,"The document discusses agricultural income and a choice between political parties, referencing past elections and policy positions (parity). While it mentions farmers' concerns, it lacks the emotional language, direct appeals to 'the common people,' and framing of a moral struggle between 'the people' and elites that are characteristic of populism, as defined in the codebook. It is more policy-oriented than populist.",
3004_35,"And let me just say this in closing. You know, Macomb County has become a famous place in the annals of modern American politics. It's the place where people came because they said that modern society had left too many of their values behind; the home of the Reagan Democrats who said that their party had abandoned them and that the Democrats had paid too much attention to special interest groups and not enough to the interest of the country as a whole.",1,"The document references 'Reagan Democrats' who felt their party had 'abandoned them' and paid too much attention to 'special interest groups' instead of the 'interest of the country as a whole.' This framing aligns with the inclusion criteria by contrasting a group of 'people' (Reagan Democrats) with a perceived neglect from their political party, suggesting a disconnect between the 'people' and established political interests, which is characteristic of populist rhetoric.",
1748_19,"And America's farmers--America's farmers--to whose hard work and almost incredible efficiency we owe the fact that we are the best fed, best clothed people in the world, I say American farmers must and will receive what they do not have today and what they deserve--a fair share of America's ever-increasing prosperity. And to accomplish these things, we will develop to the fullest the untapped natural resources our water, our minerals, our power with which we are so fortunate to be blessed in this rich land of ours. And we shall provide for our scientists, the support they need for the research that will open exciting new highways into the future--new highways in which we shall have progress which we cannot even dream of today.  And above all, in this decade of the Sixties, this decade of decision and progress, we will witness the continued revitalization of America's moral and spiritual strength with the renewed faith in the eternal ideals of freedom and justice under God which are our priceless heritage as a people.",1,"The document emphasizes the virtue and hard work of 'America's farmers,' contrasting them with an implied need for a fairer share of prosperity, suggesting a struggle against an unspecified system that has not adequately rewarded them. It uses emotionally charged language ('incredible efficiency,' 'ever-increasing prosperity') and appeals directly to a specific group ('America's farmers') to advocate for their interests, aligning with the inclusion criteria for populism.",
1401_19,"This year, the soil bank is retiring over twelve million acres and earning a half million farmers more than $260 million dollars. When next year it retires forty to fifty million acres, overproduction will start coming under control. That means better times for every farmer.",0,"The document focuses on agricultural policy (soil bank, acreage retirement, farmer income) and presents a factual, solution-oriented description of a program. It lacks the emotional language, moral framing, or direct appeals to 'the common people' versus elites that are characteristic of populism, as defined in the codebook. It does not portray a struggle between 'the people' and 'elites'.",
