doc_id,text,label,decision_basis,confidence,error
1757_10,"I think it's one of the primary responsibilities of a presidential candidate and, certainly, an overriding responsibility of a president himself to emphasize these great ideals that join us together, to unite Americans rather than to divide them sectionally into occupations and the like, and that's why I refuse to go before one group and make them promises that will set them against another.  I think we must emphasize the things that unite America.  I pointed out in speaking to a great labor organization yesterday the fact that Mr. Kennedy had been in Detroit and made the statement that he was for everything union leaders were for, in effect, and that he opposed everything that they were against.  And I said to this group, """"Look, I'm for many of the things your leaders are for, but I'm not for all the things and I will not make a commitment that I'm for all the things that the leaders of unions or management or farm organizations or any other part or group of America are for, because a president must be president of all America and not just part of America.""""",0,"The document emphasizes national unity and explicitly rejects aligning with specific interest groups or occupations to avoid sectional division. It lacks a moralistic people-vs-elite divide, anti-establishment rhetoric, or claims to exclusively represent the common will against corrupt institutions. Instead, it presents a standard centrist appeal focused on representing all Americans, which aligns with the codebook's instruction to code such appeals as 0 when lacking a vertical conflict.",95,
2008-10-01-crosse-wisconsin-1_19,"As for the programs we do need, I will make them work better and cost less. I will create a High-Performance Team of experts that evaluates every agency and every office based on how well they're serving the American taxpayer. I will save billions of dollars by cutting private contractors and improving management and oversight of the hundreds of billions of dollars our government spends on contracts. And I will finally end the abuse of no-bid contracts once and for all - the days of sweetheart deals for Halliburton will be over when I'm in the White House.",0,"The text focuses on administrative efficiency, cost-cutting, and ending specific corrupt contracting practices rather than constructing a moralistic people-vs-elite divide. It explicitly relies on technocratic solutions by proposing a team of experts to evaluate agencies, which contradicts the populist rejection of expert governance. The rhetoric is policy-oriented and managerial, lacking anti-establishment moral framing or claims to exclusively represent the authentic will of the people against a corrupt ruling class.",90,
1667_1,"Ladies and gentlemen, I will be very brief.  I just come here in this community, which is mixed, Democrats, Republicans and independents, because two weeks from today, November 8th, Mr. Nixon's and my work will be finished and then you have to decide, you have to make these judgments.  But what is the area of difference between us?  What is the issue on which you should base your decision?  You should not only make a judgment of Mr. Nixon and myself.  You should also make a judgment about yourselves, what you want, about what your view is of your country and your community, about what your view of the future is, whether you are satisfied today or wish to do better.  If you are satisfied, if you feel happy about your life, if you feel our country is meeting its responsibilities, then you belong in Mr. Nixon's camp.  But if you share the view that I hold very vigorously that this country is going to have to do better in the future, that we have responsibilities to meet not only to ourselves but to the cause of freedom, that we are anxious to make sure that in the future people decide that these days were great days in the life of our country, that we must move forward, we must stimulate our growth, we must hold out an image to the world of a vigorous, dynamic society, if we are going to continue to lead the free world--I believe that is the choice.  I don't think if we continue on our present basis that we will be the leader of the free world.",0,"The document presents a conventional campaign appeal contrasting the speaker with an opponent and urging voters to consider the nation's future direction and leadership. It lacks any vertical conflict between 'the people' and a corrupt elite, employs no anti-establishment or moralistic framing of elites, and does not claim exclusive representation of the common will. It aligns with the codebook's instruction to code as '0' when the text reflects mere partisan disagreement, policy debate, or patriotic appeal without a people-vs-elite dynamic.",95,
2016-11-02-amphitheater-miami-florida_6,"Podesta forwarded the e-mails to Clinton's top staff and said, additional chances for mischief. These are the people that want to run our country, folks. The spread of political agendas into the Justice Departmentâ€šÃ„Ã®there's never been a thing like this that has happened in our country's historyâ€šÃ„Ã®is one of the saddest things that has happened to our country. But with your vote you can beat the system, the rigged system, and deliver justice. So, show up early and vote. Show up early. You know, the lines are incredible. The polls are all saying we're going to win Florida. Don't believe it. Don't believe it. Get out there and vote. Pretend we're slightly behind. You got to getâ€šÃ„Ã®we don't want to blow this.",1,"The text explicitly constructs a vertical conflict between ordinary voters and a corrupt political establishment, labeling the system as 'rigged' and condemning the infiltration of 'political agendas into the Justice Department.' It employs strong anti-establishment rhetoric, frames the elite as illegitimate, and urges citizens to 'beat the system' to 'deliver justice,' directly satisfying the codebook's criteria for moralistic framing, exclusive representation of the people's will, and defense against entrenched power structures.",95,
1043_11,"There has been loose talk of a war of liberation to free the enslaved peoples of Eastern Europe. Such a war is unthinkable and would destroy the very people and the civilization that we seek to save. Yet the day of liberation will come, and there is much we can do in the meantime to help the unhappy people of Eastern Europe. Through the United Nations much is being done to rally the conscience of mankind. We can offer help and encouragement to those thousands of families and those individuals who are escaping, month by month, through the chinks in the Iron Curtain.",0,"The document discusses foreign policy and humanitarian efforts regarding Eastern Europe and the Iron Curtain, referencing the United Nations. It lacks a vertical conflict between domestic citizens and a corrupt elite, contains no anti-establishment rhetoric, and does not claim exclusive representation of the common will. According to the codebook's edge case rules, rhetoric targeting foreign nations or ideologies without explicit linkage to domestic elite complicity does not qualify as populism.",95,
1092_20,"I started my troop duty in the days when we were digging trenches along the Mexican border.  In those days, war traveled no faster than a horse's jog.  I ended my last tour with troops in May of this year.  By then, the pace of war had stepped up to the speed of the jet plane and the impact of the atomic bomb.",0,"The document is a personal military reflection describing the technological evolution of warfare over time. It contains no vertical conflict between 'the people' and an 'elite,' lacks moralistic framing, and makes no claims of exclusive representation. Therefore, it fails all inclusion criteria for populism.",100,
1526_2,"The sun is setting and I understand there are no lights--the lights are going out for the Republican party all over the United States. But I want to say one or two things. I spoke this afternoon at the plowing contest on what I consider to be the number one domestic problem which the United States faces, and that is the sharp decline in agricultural income. I think the farmers of North Dakota and the farmers of South Dakota and of Minnesota and Montana have a very clear choice. The question is which party and which candidate can meet their problems in this state, and meet their in this country. They have heard from the Democratic party and they have heard from the Republican party. I remember when President Truman used to say that the farmers had themselves to blame for their difficulties because they voted Republican in 1952. But I don't hold that view wholly, because in 1952, the farmers were informed that the Republican party stood for 100 percent parity not once but at least three times.",0,"The document presents conventional partisan campaign rhetoric focused on agricultural policy and party platforms. It lacks a moralistic people-vs-elite dichotomy, anti-establishment framing, or claims to exclusively represent the common will against corrupt institutions. The discussion of farmers and political parties constitutes standard electoral competition and policy critique, failing to meet the inclusion criteria for populism.",95,
3004_35,"And let me just say this in closing. You know, Macomb County has become a famous place in the annals of modern American politics. It's the place where people came because they said that modern society had left too many of their values behind; the home of the Reagan Democrats who said that their party had abandoned them and that the Democrats had paid too much attention to special interest groups and not enough to the interest of the country as a whole.",1,"The text establishes a clear vertical conflict between ordinary citizens (Macomb County residents/Reagan Democrats) and a political party/special interest groups. It employs moralistic framing by characterizing the elite as having abandoned the people's values and prioritized special interests over the country's welfare, directly satisfying the codebook's criteria for populism.",90,
1748_19,"And America's farmers--America's farmers--to whose hard work and almost incredible efficiency we owe the fact that we are the best fed, best clothed people in the world, I say American farmers must and will receive what they do not have today and what they deserve--a fair share of America's ever-increasing prosperity. And to accomplish these things, we will develop to the fullest the untapped natural resources our water, our minerals, our power with which we are so fortunate to be blessed in this rich land of ours. And we shall provide for our scientists, the support they need for the research that will open exciting new highways into the future--new highways in which we shall have progress which we cannot even dream of today.  And above all, in this decade of the Sixties, this decade of decision and progress, we will witness the continued revitalization of America's moral and spiritual strength with the renewed faith in the eternal ideals of freedom and justice under God which are our priceless heritage as a people.",0,"The text lacks a vertical conflict between the people and a corrupt or self-serving elite. It focuses on patriotic appeals, policy goals regarding agricultural prosperity and scientific progress, and moral revitalization without characterizing any ruling class or institution as illegitimate or antagonistic to ordinary citizens. This aligns with the codebook's instruction to code as 0 for patriotic or policy appeals that lack a moralistic people-vs-elite division.",95,
1401_19,"This year, the soil bank is retiring over twelve million acres and earning a half million farmers more than $260 million dollars. When next year it retires forty to fifty million acres, overproduction will start coming under control. That means better times for every farmer.",0,"The document is a straightforward policy update regarding an agricultural program and its economic benefits for farmers. It lacks any vertical conflict between citizens and a corrupt elite, contains no moralistic framing, and makes no claims to exclusive representation of the common will. It does not meet any of the codebook's inclusion criteria for populism.",98,
1809_17,"To find and develop talent in America and thus avoid the waste of a potentially superior scientist, engineer, teacher, minister, or doctor, we need also a program in the field of education, an intensified one.  We must widen opportunities for all.  We must improve the quality of educational effort.  We must enhance the status of our teachers.  To that end, I have proposed a national program in support of education, emphasizing such elements as college scholarships for those who cannot under any circumstances afford to borrow and to pay back, tax credits or deductions to cover tuition and other costs of higher education, aid in school construction to provide needed facilities, and thereby to release local funds for raising teachers' salaries--all of this, however, particularly at the secondary and primary level, to be accomplished without compromising local controls of our school system.",0,"The text outlines a standard policy proposal for education funding and scholarships. It lacks any vertical conflict between 'the people' and a corrupt elite, moralistic framing, or anti-establishment rhetoric. The document focuses on administrative and educational improvements rather than pitting ordinary citizens against a ruling class, thus failing to meet the inclusion criteria for populism.",98,
2016-10-15-portsmouth-new-hampshire_5,"Instead of being held accountable, Hillary is running for President in what looks like a rigged election. The election is being rigged by corrupt media, pushing false allegations and outright lies, in an effort to elect her President. But we are going to stop it. We are not going to back down. We are not going to let it happen.",1,"The text constructs a clear vertical conflict between 'we' (the people) and a defined elite ('corrupt media' and the political establishment). It employs moralistic framing by characterizing the elite as pushing 'false allegations and outright lies' to rig the election, while positioning ordinary citizens as morally justified in stopping this corruption. The speaker asserts authority to represent the authentic will of the people against entrenched power structures, satisfying all inclusion criteria.",95,
1851_16,"Second, we also have to see to it that America's diplomacy is firm. Now, that doesn't mean that we won't always go the extra mile--and Cabot Lodge and I have some ideas for strengthening the United Nations, for setting up new organizations which can strengthen the cause of peace and freedom throughout the world. But, my friends, I can assure you of this: we are not, under any circumstances, going to enter into any agreements with the Soviet leaders which would surrender freedom any place in the world, because that leads to war and not to peace. President Eisenhower has shown that. That's why he took the position he did on Quemoy and Matsu and on the other great decisions.",0,"The document focuses on foreign policy, diplomacy, and Cold War strategy regarding the Soviet Union and the United Nations. It lacks any vertical conflict between 'the people' and a domestic elite, contains no moralistic framing of corrupt elites versus virtuous citizens, and does not claim exclusive representation of the common will. Per the codebook's edge case rules, rhetoric targeting foreign nations or international bodies without linking to domestic elite complicity does not qualify as populism.",95,
1436_10,"Abroad, the balance of power is shifting. There are new and more terrible weapons--new and uncertain nations--new pressures of population and deprivation. One-third of the world, it has been said, may be free--but one-third is the victim of cruel repression--and the other one-third is rocked by the pangs of poverty, hunger, and envy. More energy is released by the awakening of these new nations than by the fission of the atom itself.",0,"The text describes global geopolitical shifts and international conditions without establishing a vertical conflict between 'the people' and a corrupt 'elite.' It lacks moralistic framing, anti-establishment rhetoric, and claims of exclusive representation, focusing instead on external dynamics that do not meet the codebook's inclusion criteria for populism.",95,
1316_2,"My friends, tomorrow you are going into the voting booths.  When you go there, you are going alone with your conscience.  No one can know how you vote, and that is one of the priceless things for America--that you can do that.  No other person, no matter how close, can know what you do if you don't want him to.",0,"The text focuses on the individual right to vote secretly and follow one's conscience, framing it as a civic virtue for America. It lacks any vertical conflict between 'the people' and a corrupt elite, contains no anti-establishment rhetoric, and makes no claim to exclusively represent the common will against a ruling class. It is a standard patriotic and civic appeal that fails to meet the inclusion criteria for populism.",95,
1751_17,"So looking to the future these are the things that I believe America can and must do if we are to have peace and have it on the basis that I suggested is essential. First, of course, and we will all agree with this, America must have military strength which is not only second to none, but strength which, combined with our allies, is sufficient, that regardless of what a potential enemy may have, that if he should launch a surprise attack against us anyplace in the world we will have enough left to destroy his warmaking capability. Why do I set that particular standard?  Not because we ever want to use that strength, because if we have that strength it means that is the greatest single guarantee that a potential enemy of peace will not use his strength against us.",0,"The document focuses on national defense and military deterrence against external threats, lacking any vertical conflict between 'the people' and a domestic 'elite.' It does not employ moralistic framing, anti-establishment rhetoric, or claims to represent the common will against corrupt institutions. Per the codebook's edge case rules, rhetoric targeting foreign nations or external threats without linking to domestic elite complicity does not qualify as populism.",95,
